"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"2",2021-02-01,2021-02-01,"TR-SPA",28.13,7263.51,"NOITE DAS CAMÉLIAS","IGAC / SPA"
"2",2021-02-01,2021-02-01,"SP-00026322892 SECURITAS DIREC",-51.08,7212.43,"INSTALAÇÕES","SECURITAS - ALARME"
"2",2021-02-01,2021-02-01,"EMISSÃO EXTR. CONTA-2021-01-31",-1,7211.43,"INSTALAÇÕES","DESP. BANCÁRIAS"
"2",2021-02-01,2021-02-01,"I.SELO OP.BANC.    -2021-01-31",-0.04,7211.39,"INSTALAÇÕES","DESP. BANCÁRIAS"
"2",2021-02-02,2021-02-02,"COMISSÃO MANUTENÇÃO DE CONTA",-5,7206.39,"INSTALAÇÕES","DESP. BANCÁRIAS"
"2",2021-02-02,2021-02-02,"I.SELO OP.BANC.",-0.2,7206.19,"INSTALAÇÕES","DESP. BANCÁRIAS"
"2",2021-02-03,2021-02-03,"SP-00531446107 VODAFONE PORTUG",-64.47,7141.72,"INSTALAÇÕES","COMUNICAÇÕES"
"2",2021-02-04,2021-02-04,"SP-10367661    MAFEP MATERIAL",-29.52,7112.2,"INSTALAÇÕES","ALUGUER EXTINTORES"
"2",2021-02-08,2021-02-08,"COMPRA   STAPLES PORTUGAL SA",-18.08,7094.12,"INSTALAÇÕES","MATERIAL ESCRITÓRIO"
