"Mês";"DATA.MOV.";"DATA.VALOR";"DESCRIÇÃO";"IMPORTÂNCIA";"SALDO.CONTABILÍSTICO";"CENTRO.DE.CUSTO";"RUBRICA"
3;"2022-03-14";"2022-03-14";"COMPRA   TINTAS CIN - SINTRA";-64,13;8926,46;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
3;"2022-03-14";"2022-03-14";"TRF. AMÉLIA IRENE FRANÇA RODRI";-500;8426,46;"NOITE DAS CAMÉLIAS";"OUTROS"
3;"2022-03-17";"2022-03-17";"COMPRA   STAPLES PORTUGAL SA";-18,67;8407,79;"INSTALAÇÕES";"MATERIAL ESCRITÓRIO"
3;"2022-03-18";"2022-03-18";"COMPRA   PALADARES FRESCOS";-44,7;8363,09;"NOITE DAS CAMÉLIAS";"ENCARGOS COM COLABORADORES"
3;"2022-03-18";"2022-03-18";"COMPRA   POUPANCA MEM MARTINS";-60,12;8302,97;"BAR";"COMPRAS"
3;"2022-03-18";"2022-03-18";"COMPRA   FORUM CHINA";-56,3;8246,67;"NOITE DAS CAMÉLIAS";"OUTROS"
3;"2022-03-19";"2022-03-19";"COMPRA   PIRIQUITA II";-40;8206,67;"BAR";"COMPRAS"
3;"2022-03-21";"2022-03-21";"SP-50076845118 ENDESA ENERGIA";-43,32;8163,35;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
3;"2022-03-22";"2022-03-22";"SP-50076845506 ENDESA ENERGIA";-9,15;8154,2;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
3;"2022-03-22";"2022-03-20";"LEVANTAM.  3503";-200;7954,2;"NOITE DAS CAMÉLIAS";"BANDA"
3;"2022-03-28";"2022-03-28";"SP-96611566046 Servicos Munici";-23,15;7931,05;"INSTALAÇÕES";"CONSUMO ÁGUA (SMAS)"
3;"2022-03-28";"2022-03-28";"COMPRA   LEROY MERLIN SINTRA";-43,46;7887,59;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
3;"2022-03-28";"2022-03-28";"COMPRA   LEROY MERLIN SINTRA";-27,94;7859,65;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
3;"2022-03-30";"2022-03-30";"COMPRA   CINTRAFER";-94,76;7764,89;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
3;"2022-03-30";"2022-03-30";"COMPRA   LEROY MERLIN SINTRA";-40,36;7724,53;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
4;"2022-04-01";"2022-04-01";"SP-00026322892 SECURITAS DIREC";-52,31;7672,22;"INSTALAÇÕES";"SECURITAS - ALARME"
4;"2022-04-04";"2022-04-04";"SP-01819182700 Lusitania";-14,49;7657,73;"INSTALAÇÕES";"SEGUROS"
4;"2022-04-06";"2022-04-06";"SP-00531446107 VODAFONE PORTUG";-53,71;7604,02;"INSTALAÇÕES";"COMUNICAÇÕES"
4;"2022-04-07";"2022-04-07";"SP-10367661    MAFEP MATERIAL";-29,52;7574,5;"INSTALAÇÕES";"ALUGUER EXTINTORES"
4;"2022-04-13";"2022-04-13";"SOLUÇÃO ESOCIAL";-4;7570,5;"INSTALAÇÕES";"DESP. BANCÁRIAS"
4;"2022-04-13";"2022-04-13";"I.S. COM. MAN. CTA PACOTE";-0,16;7570,34;"INSTALAÇÕES";"DESP. BANCÁRIAS"
