"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"7",2022-07-01,2022-07-01,"SP-96611566046 Servicos Munici",-20.48,9807.4,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
"7",2022-07-01,2022-07-01,"SP-00026322892 SECURITAS DIREC",-52.31,9755.09,"INSTALAÇÕES","SECURITAS - ALARME"
"7",2022-07-06,2022-07-06,"SP-00531446107 VODAFONE PORTUG",-53.71,9701.38,"INSTALAÇÕES","COMUNICAÇÕES"
"7",2022-07-07,2022-07-07,"SP-10367661    MAFEP MATERIAL",-29.52,9671.86,"INSTALAÇÕES","ALUGUER EXTINTORES"
"7",2022-07-07,2022-07-07,"TR-IPS-BDLS HSP, UNIPESSOAL LD",1000,10671.86,"INSTALAÇÕES","RENDA"
"7",2022-07-13,2022-07-13,"SOLUÇÃO ESOCIAL",-4,10667.86,"INSTALAÇÕES","DESP. BANCÁRIAS"
"7",2022-07-13,2022-07-13,"I.S. COM. MAN. CTA PACOTE",-0.16,10667.7,"INSTALAÇÕES","DESP. BANCÁRIAS"
"7",2022-07-15,2022-07-15,"COMPRA   GATO PRETO",-31.7,10636,"INSTALAÇÕES","ARTIGOS DECORATIVOS"
"7",2022-07-17,2022-07-17,"COMPRA   GATO PRETO",-7.15,10628.85,"INSTALAÇÕES","ARTIGOS DECORATIVOS"
"7",2022-07-20,2022-07-20,"SP-50076845118 ENDESA ENERGIA",-51.25,10577.6,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"7",2022-07-20,2022-07-20,"SP-50076845506 ENDESA ENERGIA",-10.54,10567.06,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"7",2022-07-24,2022-07-24,"COMPRA   TIGER PORTUGAL, SA",-12,10555.06,"INSTALAÇÕES","MANUTENÇÃO / OBRAS"
"7",2022-07-25,2022-07-25,"COMPRA   SECURITAS DIRECT",-213.4,10341.66,"INSTALAÇÕES","EQUIPAMENTOS"
"7",2022-07-26,2022-07-26,"COMPRA   LEROY MERLIN SINTRA",-57.33,10284.33,"INSTALAÇÕES","JARDIM"
"7",2022-07-26,2022-07-26,"COMPRA   LEROY MERLIN SINTRA",-67.14,10217.19,"INSTALAÇÕES","MANUTENÇÃO / OBRAS"
"7",2022-07-26,2022-07-26,"COMPRA   LEROY MERLIN SINTRA",-30,10187.19,"INSTALAÇÕES","EQUIPAMENTOS"
"7",2022-07-26,2022-07-26,"LEV.ATM    3503",-200,9987.19,"INSTALAÇÕES","JARDIM"
"7",2022-07-26,2022-07-26,"LEV.ATM    3503",-190,9797.19,"INSTALAÇÕES","JARDIM"
"7",2022-07-27,2022-07-27,"SP-96611566046 Servicos Munici",-19.56,9777.63,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
